代码,名称,成交额
159001,货币ETF易方达,559125591.2
159003,招商快线ETF,30349696.5
159005,快钱ETF汇添富,1130000.0
159007,养殖ETF华泰柏瑞,22489730.6
159008,证券ETF景顺,22082102.4
159009,创业板新能源ETF易方达,3247308.8000000003
159010,港股通科技ETF博时,8611925.0
159011,养殖ETF华安,25027608.299999997
159012,科创创业50ETF鹏华,15510409.2
159013,工业互联网ETF大成,11593875.7
159015,恒生港股通科技ETF国联,6271567.2
159016,证券ETF广发,97913747.1
159017,石油ETF工银,5564304.1
159018,石油ETF广发,3046977.3
159019,石油ETF华宝,14068080.0
159020,养殖ETF易方达,18194341.8
159021,大盘价值ETF华夏,4044446.4
159022,科创创业人工智能ETF富国,37792946.6
159023,养殖ETF万家,17566709.8
159026,石油ETF南方,8397088.799999999
159027,畜牧养殖ETF大成,12025636.8
159028,港股汽车ETF天弘,2808795.2
159029,有色ETF广发,31135958.4
159030,粮食ETF华夏,3244284.0
159031,粮食ETF博时,1415119.2
159032,工业有色ETF易方达,20923525.8
159033,粮食ETF国泰,20060550.0
159035,软件ETF天弘,9453202.0
159036,软件开发ETF华宝,15509898.2
159037,价值ETF鹏华,5921137.3
159038,粮食ETF易方达,6876760.8
159039,机器人ETF华安,82498813.2
159040,港股通互联网ETF鹏华,32370821.999999996
159041,农业ETF鹏华,4725984.0
159042,价值ETF汇添富,4434635.0
159045,稀有金属ETF大成,7256174.399999999
159046,绿电ETF天弘,13314644.2
159048,机器人ETF大成,24809210.8
159050,机器人ETF广发,47347853.4
159051,医疗器械ETF易方达,2711927.9
159052,新能源电池ETF嘉实,12446233.8
159053,稀有金属ETF华夏,41390352.0
159055,稀有金属ETF富国,19508260.8
159056,医疗器械ETF富国,6487084.6
159057,医疗器械ETF鹏华,3022362.9
159060,粮食ETF浦银,6834451.600000001
159061,绿色电力ETF南方,6876753.800000001
159062,稀有金属ETF南方,18520684.4
159063,粮食ETF南方,9446803.1
159065,工程机械ETF景顺,7619535.0
159070,工程机械ETF嘉实,6821346.8
